# title,"Budgeting Summary (lut=0.500ns/net=0.350ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","0.246","2.500","-0.039","0.035","2.280","1.886","0.394","8","2","1 (*)","4","-0.060","1.526","FDRE(4) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add8F_1_reg_1284_reg[1]/C --> bd_0_i/hls_inst/inst/tmp_1_reg_1307_reg[0]/D}"
"ap_clk","0.246","2.500","-0.039","0.035","2.280","1.886","0.394","8","2","1 (*)","4","-0.060","1.526","FDRE(4) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add8F_reg_1272_reg[1]/C --> bd_0_i/hls_inst/inst/tmp_reg_1302_reg[0]/D}"
"ap_clk","0.254","2.500","-0.039","0.035","2.272","1.878","0.394","8","2","1 (*)","4","-0.052","1.526","FDRE(4) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add8F_1_reg_1284_reg[1]/C --> bd_0_i/hls_inst/inst/add0F_1_reg_1296_reg[25]/D}"
"ap_clk","0.254","2.500","-0.039","0.035","2.272","1.878","0.394","8","2","1 (*)","4","-0.052","1.526","FDRE(4) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add8F_reg_1272_reg[1]/C --> bd_0_i/hls_inst/inst/add0F_reg_1290_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add23_1_reg_1191_reg[1]/C --> bd_0_i/hls_inst/inst/add03_1_reg_1246_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add23_reg_1151_reg[1]/C --> bd_0_i/hls_inst/inst/add03_reg_1226_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add47_1_reg_1251_reg[1]/C --> bd_0_i/hls_inst/inst/add07_1_reg_1278_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add47_reg_1231_reg[1]/C --> bd_0_i/hls_inst/inst/add07_reg_1266_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add67_1_reg_1201_reg[1]/C --> bd_0_i/hls_inst/inst/add47_1_reg_1251_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/add67_reg_1161_reg[1]/C --> bd_0_i/hls_inst/inst/add47_reg_1231_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addAB_1_reg_1211_reg[1]/C --> bd_0_i/hls_inst/inst/add8B_1_reg_1256_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addAB_reg_1171_reg[1]/C --> bd_0_i/hls_inst/inst/add8B_reg_1236_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addCF_1_reg_1261_reg[1]/C --> bd_0_i/hls_inst/inst/add8F_1_reg_1284_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addCF_reg_1241_reg[1]/C --> bd_0_i/hls_inst/inst/add8F_reg_1272_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addEF_1_reg_1221_reg[1]/C --> bd_0_i/hls_inst/inst/addCF_1_reg_1261_reg[25]/D}"
"ap_clk","0.267","2.500","-0.039","0.035","2.259","1.878","0.381","8","2","1 (*)","4","-0.052","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/addEF_reg_1181_reg[1]/C --> bd_0_i/hls_inst/inst/addCF_reg_1241_reg[25]/D}"
"ap_clk","0.302","2.500","-0.039","0.035","2.224","1.843","0.381","8","2","1 (*)","4","-0.017","1.526","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) CARRY4(1) FDRE","{bd_0_i/hls_inst/inst/h2_hm_m2_hl_l2_ml_reg_1540_reg[1]/C --> bd_0_i/hls_inst/inst/sub_55ns_55ns_55_2_1_U11/sum_s1_reg[25]/D}"

